,query_coords,latitude,longitude,formatted_address,metro_area_name,metro_area_code,metro_area_type,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
55,"35.3103,-93.2314",35.310484,-93.240532,"1238 Flatwood Rd, London, AR 72847","Russellville, AR",40780,micropolitan,05,05115,950800,1095,051159508001095,1114.0,0.902,205500.0,67063.0,47.6,2412.0,0.466,0.534,0.966,0.034,0.966,0.0,0.007,0.0,0.0
56,"33.4025,-112.8556",33.400441,-112.858636,"5625 W Palo Verde 4 Entr, Tonopah, AZ 85354","Phoenix-Mesa-Chandler, AZ",38060,metropolitan,04,04013,050603,2066,040130506032066,956.0,0.947,260000.0,68843.0,35.4,2783.0,0.554,0.446,0.674,0.326,0.96,0.011,0.004,0.004,0.015
57,"31.2231,-85.1133",31.226661,-85.124446,"7747 State Hwy 95, Columbia, AL 36319","Dothan, AL",20020,metropolitan,01,01069,041700,2063,010690417002063,218.0,0.899,-666666666.0,67344.0,45.8,505.0,0.509,0.491,1.0,0.0,0.794,0.206,0.0,0.0,0.0
58,"34.7039,-87.1186",34.710657,-87.117357,"11250 Nuclear Plant Rd, Athens, AL 35611","Huntsville, AL",26620,metropolitan,01,01083,021101,1099,010830211011099,459.0,1.0,302700.0,75592.0,49.3,1163.0,0.428,0.572,0.971,0.029,0.71,0.248,0.0,0.0,0.0
59,"43.56,-91.2314",43.559383,-91.230257,"S4651 State Highway 35, Genoa, WI 54632","La Crosse-Onalaska, WI-MN",29100,metropolitan,55,55123,960700,3056,551239607003056,290.0,0.897,167900.0,72500.0,48.6,581.0,0.561,0.439,0.997,0.003,0.896,0.014,0.0,0.0,0.0
60,"46.0383,-122.885",46.037932,-122.889417,"71760 Columbia River Hwy, Rainier, OR 97048","Portland-Vancouver-Hillsboro, OR-WA",38900,metropolitan,41,41009,970300,4039,410099703004039,506.0,0.99,358100.0,77321.0,60.6,1113.0,0.48,0.52,0.957,0.043,0.958,0.002,0.0,0.0,0.021
61,"42.7292,-72.9253",42.731317,-72.931276,"38 Readsboro Rd, Monroe Bridge, MA 01350","Greenfield, MA",24640,micropolitan,25,25011,040100,1008,250110401001008,665.0,0.786,269300.0,67981.0,50.7,1165.0,0.518,0.482,0.978,0.022,0.933,0.0,0.002,0.0,0.0
62,"41.3897,-88.2681",41.388328,-88.26856,"6969 N Dresden Rd, Morris, IL 60450","Chicago-Naperville-Elgin, IL-IN",16980,metropolitan,17,17063,000700,1013,170630007001013,769.0,0.753,430900.0,139306.0,45.4,1340.0,0.534,0.466,0.954,0.046,1.0,0.0,0.0,0.0,0.0
63,"41.4822,-72.4983",41.48201,-72.498003,"298 Canal Rd, East Hampton, CT 06424","Hartford-West Hartford-East Hartford, CT",25540,metropolitan,09,09130,590101,3009,091305901013009,841.0,0.834,349100.0,115807.0,50.0,1818.0,0.457,0.543,0.947,0.053,0.912,0.006,0.033,0.0,0.004
64,"40.2456,-104.8775",40.244354,-104.877702,"16805 County Rd 19 1/2, Platteville, CO 80651","Greeley, CO",24540,metropolitan,08,08123,001800,1086,081230018001086,968.0,0.874,497400.0,112893.0,41.6,2544.0,0.507,0.493,0.688,0.313,0.934,0.0,0.003,0.0,0.003
65,"38.3453,-121.1217",38.343475,-121.122376,"14440 Twin Cities Rd, Herald, CA 95638","Sacramento-Roseville-Folsom, CA",40900,metropolitan,06,06067,009406,1003,060670094061003,405.0,0.988,757700.0,98750.0,41.0,1222.0,0.509,0.491,0.72,0.28,0.941,0.0,0.02,0.0,0.0
66,"40.7411,-124.2089",40.740691,-124.210478,"1000 King Salmon Ave, Eureka, CA 95503","Eureka-Arcata, CA",21700,micropolitan,06,06023,010702,1009,060230107021009,398.0,0.794,341200.0,-666666666.0,29.3,723.0,0.466,0.534,1.0,0.0,0.903,0.097,0.0,0.0,0.0
67,"46.6475,-119.5986",46.6475,-119.5986,"Mattawa, WA 99349","Kennewick-Richland, WA",28420,metropolitan,53,53005,012000,1002,530050120001002,,,,,,,,,,,,,,,
68,"35.93,-84.31",35.931189,-84.310014,"1 Bethel Valley Rd, Oak Ridge, TN 37830","Knoxville, TN",28940,metropolitan,47,47145,980100,1041,471459801001041,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"35.06,-105.5358",35.06,-105.5358,"Clines Corners, NM 87070","Las Vegas, NM",29780,micropolitan,35,35047,957700,1205,350479577001205,,,,,,,,,,,,,,,
70,"43.52,-112.5986",43.52,-112.5986,"Atomic City, ID 83215","Blackfoot, ID",13940,micropolitan,16,16011,950300,1014,160119503001014,,,,,,,,,,,,,,,
