index,Urban_Rural,occupied_percent,house_value_median,household_income_median,age_median,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacific_percent,native_percent,missing_race,county_data,median_family_percent,site
,Rural,0.793,42645,-6.67E+08,36.2,0.404,0.596,0.859,0.141,0.289,0.711,0,0,0,0,0,138.21,0
,Rural,0.758,44299,81250,43.3,0.532,0.468,0.978,0.022,0.972,0,0,0,0.004,0.024,0,85.41,0
,Rural,0.823,14434,81406,50,0.548,0.452,0.999,0.001,0.987,0,0,0,0,0.013,0,118.79,0
,Rural,0.524,24377,53846,58.5,0.511,0.489,0.979,0.021,0.842,0.012,0.009,0,0.043,0.094,0,83.27,0
,Rural,0.709,42724,94348,55.7,0.561,0.439,0.634,0.366,0.84,0,0.006,0.006,0.024,0.124,0,88.46,0
,Rural,0.855,70472,89559,49.6,0.521,0.479,0.938,0.062,0.984,0,0.006,0,0,0.01,0,67.25,0
,Rural,0.32,-222222222,-6.67E+08,55.2,0.678,0.322,0.971,0.029,0.554,0.313,0,0.108,0,0.025,0,104.71,0
,Mixed,0.955,68128,59926,40.4,0.531,0.469,0.806,0.194,0.973,0,0,0,0,0.027,0,64.65,0
,Rural,0.97,28018,81188,40.7,0.511,0.489,1,0,0.963,0,0,0,0,0.037,0,115.46,0
,Rural,0.724,105603,67734,45.2,0.489,0.511,1,0,0.928,0.017,0,0,0,0.055,0,99.66,0
,Rural,0.828,12433,45667,51.7,0.601,0.399,0.975,0.025,0.959,0,0,0,0.011,0.03,0,97.86,0
,Rural,0.924,100892,86750,42.8,0.566,0.434,0.957,0.043,0.812,0.006,0,0,0.009,0.173,0,83.83,0
,Rural,0.859,23443,82917,36.9,0.559,0.441,0.955,0.045,0.998,0,0,0,0,0.002,0,134.98,0
,Rural,0.937,12174,52688,42.4,0.482,0.518,0.969,0.031,0.857,0.041,0.001,0,0,0.101,0,97.21,0
,Rural,0.853,30002,101181,39.6,0.498,0.502,0.938,0.062,0.831,0.151,0,0,0,0.018,0,112.64,0
,Rural,0.293,46956,94375,65.2,0.483,0.517,0.996,0.004,0.959,0.006,0,0,0.007,0.028,0,112.51,0
,Mixed,0.859,-222222222,43214,60.5,0.426,0.574,0.964,0.036,0.98,0,0,0,0,0.02,0,88.53,0
,Mixed,0.891,53433,67967,51.6,0.506,0.494,0.82,0.18,0.953,0,0.042,0,0,0.005,0,104.28,0
,Rural,0.853,80809,62098,38.9,0.503,0.497,0.998,0.002,0.966,0,0,0,0,0.034,0,86.83,0
,Mixed,1,132586,83368,47.8,0.405,0.595,0.892,0.108,0.708,0.179,0.016,0,0.005,0.092,0,95.27,0
,Rural,1,102689,162500,48.4,0.546,0.454,0.984,0.016,0.963,0.014,0,0,0,0.023,0,92.33,0
,Rural,0.984,33456,47974,32.9,0.495,0.505,0.976,0.024,0.99,0.004,0.001,0,0,0.005,0,60.87,0
,Rural,0.826,34345,50527,46.7,0.489,0.511,0.997,0.003,0.996,0,0,0,0.002,0.002,0,84.11,0
,Rural,0.828,33009,64145,36.7,0.653,0.347,0.869,0.131,0.754,0.133,0.006,0,0,0.107,0,101.95,0
,Rural,0.808,162734,84948,36.2,0.463,0.537,0.947,0.053,0.929,0,0,0.009,0,0.062,0,129.5,0
,Rural,0.576,28110,37813,59.3,0.538,0.462,1,0,0.929,0,0,0,0.014,0.057,0,87.57,0
,Rural,0.905,29950,47837,49.1,0.453,0.547,0.969,0.031,0.621,0,0.024,0,0.275,0.08,0,107.47,0
,Rural,0.731,50297,88802,57.7,0.563,0.437,1,0,0.99,0,0,0,0,0.01,0,111.54,0
