606,query_coords,latitude,longitude,formatted_address,state_abbrev,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
68,"35.93,-84.31",35.931189,-84.310014,"1 Bethel Valley Rd, Oak Ridge, TN 37830",TN,47,47145,980100,1041,4.7146E+14,3088.00,0.97,242700.00,98317.00,46.50,7370.00,0.54,0.46,0.99,0.01,0.90,0.02,0.01,0.00,0.00
69,"35.06,-105.5358",35.06,-105.5358,"Clines Corners, NM 87070",NM,35,35047,957700,1205,3.5048E+14,703.00,0.89,75400.00,27564.00,41.20,1615.00,0.56,0.44,0.47,0.53,0.31,0.00,0.00,0.00,0.02
70,"43.52,-112.5986",43.52,-112.5986,"Atomic City, ID 83215",ID,16,16011,950300,1014,1.6012E+14,377.00,0.81,267600.00,64741.00,35.20,831.00,0.53,0.47,0.92,0.08,0.92,0.00,0.00,0.00,0.00
,"38.0606,-77.7894 ",38.0606,-77.7894,1083 Haley Dr,VA,51,51109,950102,1024,5.111E+14,539.00,146750.00,472400.00,72182.00,59.60,1006.00,0.61,0.40,0.98,0.02,0.93,0.00,0.01,0.00,0.00
,"32.2983,-97.785",32.2983,-97.785,5470 N FM-56,TX,48,48425,101,3014,4.8425E+14,960.00,57051.00,233500.00,29984.00,36.50,2619.00,0.48,0.53,0.63,0.38,0.92,0.04,0.00,0.00,0.00
,"35.6028,-84.7894",35.6028,-84.7894,1270 Nuclear Plant Rd,TN,47,47143,975100,2069,4.7144E+14,428.00,74514.00,200400.00,26271.00,38.30,1225.00,0.48,0.52,0.99,0.02,0.99,0.00,0.00,0.00,0.00
,"40.3619,-95.6414",40.3619,-95.6414,64899 727th Rd,NE,31,31127,968100,3068,3.1128E+14,505.00,80865.00,207700.00,42079.00,43.50,1251.00,0.54,0.46,0.99,0.01,0.95,0.00,0.00,0.00,0.01
,"32.0072,-91.0478 ",32.0072,-91.0478,6097 Bald Hill Rd,MS,28,28021,950100,3045,2.8022E+14,273.00,24659.00,134100.00,15104.00,43.30,714.00,0.54,0.46,1.00,0.00,0.19,0.71,0.00,0.00,0.00
,"42.3228,-86.3144",42.3228,-86.3144,27780 Blue Star Hwy,MI,26,26159,10600,2001,2.6159E+14,335.00,29628.00,182800.00,24616.00,38.30,1055.00,0.50,0.51,0.72,0.28,0.43,0.51,0.00,0.00,0.00
,"38.2389,-95.6889 ",38.2389,-95.6889,1703 15th Rd SE,KS,20,20031,966100,2193,2.0032E+14,709.00,80417.00,144000.00,47568.00,51.10,1481.00,0.52,0.48,1.00,0.00,0.96,0.00,0.02,0.00,0.00
,"40.1722,-88.835 ",40.1722,-88.835,8401 Power Rd,IL,17,17039,971500,2071,1.704E+14,345.00,88173.00,230300.00,36597.00,37.80,942.00,0.57,0.43,1.00,0.00,1.00,0.00,0.00,0.00,0.00
,"31.9342,-82.3439 ",31.9342,-82.3439,US-1,GA,13,13001,950100,1023,1.3002E+14,313.00,52344.00,78100.00,34919.00,44.50,780.00,0.55,0.45,0.88,0.12,0.96,0.04,0.00,0.00,0.00
,"45.3589,-85.1972 ",45.3589,-85.1972,9798 US-31,MI,26,26029,400,3020,2.6029E+14,580.00,86923.00,240800.00,67099.00,54.30,1209.00,0.55,0.45,0.99,0.01,0.94,0.00,0.02,0.00,0.00
,"43.9506,-69.6958",43.9506,-69.6958,98 Ready Pt Rd,ME,23,23015,975500,4027,2.3016E+14,264.00,104314.00,540600.00,39221.00,46.60,939.00,0.65,0.35,1.00,0.00,0.98,0.00,0.00,0.00,0.01
